EggID NestID Trt LayMass Mass2 Order1fac Order2fac HR1 HR2 scHR1 scHR2 T1 T2
9_9 9 low 1.3616 1.2653 1 1 184 NA -0.35947350047375 NA 1 NA
9_9 9 low 1.3616 1.2653 1 1 182 NA -0.451709980233318 NA 1.08333333333333 NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 163 NA -1.32795653794921 NA 0.6 NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 156 NA -1.6507842171077 NA 0.766666666666667 NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 155 NA -1.69690245698748 NA 0.933333333333333 NA
2_2 2 cont 1.2342 1.1432 2 1 NA NA NA NA NA NA
2_2 2 cont 1.2342 1.1432 2 1 NA 303 NA 0.20893049514657 NA 1.08333333333333
13_2 13 per 1.1114 1.0152 2 2 NA NA NA NA NA NA
13_2 13 per 1.1114 1.0152 2 2 169 NA -1.05124709867051 NA 0.433333333333333 NA
13_2 13 per 1.1114 1.0152 2 2 NA NA NA NA NA NA
13_2 13 per 1.1114 1.0152 2 2 158 306 -1.55854773734813 0.30918889101527 0.6 0.583333333333333
13_2 13 per 1.1114 1.0152 2 2 NA NA NA NA NA NA
13_2 13 per 1.1114 1.0152 2 2 156 305 -1.6507842171077 0.275769425725703 0.766666666666667 0.75
13_2 13 per 1.1114 1.0152 2 2 NA NA NA NA NA NA
13_2 13 per 1.1114 1.0152 2 2 149 285 -1.97361189626618 -0.392619880065632 0.933333333333333 0.916666666666667
13_2 13 per 1.1114 1.0152 2 2 NA 288 NA -0.292361484196931 NA 1
13_2 13 per 1.1114 1.0152 2 2 NA NA NA NA NA NA
9_2 9 cont 1.4133 1.2388 1 1 NA NA NA NA NA NA
9_2 9 cont 1.4133 1.2388 1 1 NA NA NA NA NA NA
9_2 9 cont 1.4133 1.2388 1 1 NA 312 NA 0.50970568275267 NA 0.5
9_2 9 cont 1.4133 1.2388 1 1 176 NA -0.728419419512021 NA 0.6 NA
9_2 9 cont 1.4133 1.2388 1 1 NA 314 NA 0.576544613331804 NA 0.666666666666667
9_2 9 cont 1.4133 1.2388 1 1 164 NA -1.28183829806943 NA 0.766666666666667 NA
9_2 9 cont 1.4133 1.2388 1 1 NA NA NA NA NA NA
9_2 9 cont 1.4133 1.2388 1 1 158 271 -1.55854773734813 -0.860492394119566 0.933333333333333 0.916666666666667
9_2 9 cont 1.4133 1.2388 1 1 NA 267 NA -0.994170255277833 NA 1
9_2 9 cont 1.4133 1.2388 1 1 152 NA -1.83525717662683 NA 1.1 NA
32_6 32 per 1.2495 1.1009 2 1 NA NA NA NA NA NA
32_6 32 per 1.2495 1.1009 2 1 NA NA NA NA NA NA
32_6 32 per 1.2495 1.1009 2 1 NA NA NA NA NA NA
32_6 32 per 1.2495 1.1009 2 1 239 317 2.17702969291436 0.676803009200504 0.583333333333333 0.583333333333333
32_6 32 per 1.2495 1.1009 2 1 233 307 1.90032025363566 0.342608356304837 0.666666666666667 0.666666666666667
32_6 32 per 1.2495 1.1009 2 1 229 NA 1.71584729411652 NA 0.75 NA
32_6 32 per 1.2495 1.1009 2 1 224 301 1.4852560947176 0.142091564567436 0.833333333333333 0.833333333333333
32_6 32 per 1.2495 1.1009 2 1 221 294 1.34690137507825 -0.091844692459531 0.916666666666667 0.916666666666667
32_6 32 per 1.2495 1.1009 2 1 215 NA 1.07019193579955 NA 1 NA
32_6 32 per 1.2495 1.1009 2 1 212 NA 0.931837216160196 NA 1.08333333333333 NA
11_4 11 per 1.2393 1.1557 2 2 NA NA NA NA NA NA
11_4 11 per 1.2393 1.1557 2 2 225 NA 1.53137433459739 NA 0.416666666666667 NA
11_4 11 per 1.2393 1.1557 2 2 222 NA 1.39301961495803 NA 0.5 NA
11_4 11 per 1.2393 1.1557 2 2 218 NA 1.2085466554389 NA 0.583333333333333 NA
11_4 11 per 1.2393 1.1557 2 2 215 NA 1.07019193579955 NA 0.666666666666667 NA
11_4 11 per 1.2393 1.1557 2 2 211 301 0.885718976280412 0.142091564567436 0.75 0.75
11_4 11 per 1.2393 1.1557 2 2 208 295 0.747364256641061 -0.0584252271699642 0.833333333333333 0.833333333333333
11_4 11 per 1.2393 1.1557 2 2 206 288 0.655127776881493 -0.292361484196931 0.916666666666667 0.916666666666667
11_4 11 per 1.2393 1.1557 2 2 203 284 0.516773057242142 -0.426039345355198 1 1
11_4 11 per 1.2393 1.1557 2 2 202 NA 0.470654817362358 NA 1.08333333333333 NA
13_13 13 low 1.0749 0.9887 2 2 NA NA NA NA NA NA
13_13 13 low 1.0749 0.9887 2 2 204 NA 0.562891297121926 NA 0.416666666666667 NA
13_13 13 low 1.0749 0.9887 2 2 206 NA 0.655127776881493 NA 0.5 NA
13_13 13 low 1.0749 0.9887 2 2 204 NA 0.562891297121926 NA 0.583333333333333 NA
13_13 13 low 1.0749 0.9887 2 2 201 NA 0.424536577482574 NA 0.666666666666667 NA
13_13 13 low 1.0749 0.9887 2 2 200 NA 0.37841833760279 NA 0.75 NA
13_13 13 low 1.0749 0.9887 2 2 198 NA 0.286181857843223 NA 0.833333333333333 NA
13_13 13 low 1.0749 0.9887 2 2 194 294 0.101708898324088 -0.091844692459531 0.916666666666667 0.916666666666667
13_13 13 low 1.0749 0.9887 2 2 192 NA 0.00947241856452012 NA 1 NA
13_13 13 low 1.0749 0.9887 2 2 188 NA -0.175000540954615 NA 1.08333333333333 NA
9_11 9 per 1.3849 1.2589 4 3 NA NA NA NA NA NA
9_11 9 per 1.3849 1.2589 4 3 NA NA NA NA NA NA
9_11 9 per 1.3849 1.2589 4 3 NA 317 NA 0.676803009200504 NA 0.5
9_11 9 per 1.3849 1.2589 4 3 NA NA NA NA NA NA
9_11 9 per 1.3849 1.2589 4 3 NA NA NA NA NA NA
9_11 9 per 1.3849 1.2589 4 3 NA 310 NA 0.442866752173537 NA 0.75
9_11 9 per 1.3849 1.2589 4 3 NA 304 NA 0.242349960436136 NA 0.833333333333333
9_11 9 per 1.3849 1.2589 4 3 NA 298 NA 0.041833168698736 NA 0.916666666666667
9_11 9 per 1.3849 1.2589 4 3 NA 292 NA -0.158683623038664 NA 1
9_11 9 per 1.3849 1.2589 4 3 NA 288 NA -0.292361484196931 NA 1.08333333333333
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
10_5 10 cont 0.9836 NA 1 NA NA NA NA NA NA NA
32_7 32 low 1.1946 1.108 1 1 NA NA NA NA NA NA
32_7 32 low 1.1946 1.108 1 1 NA NA NA NA NA NA
32_7 32 low 1.1946 1.108 1 1 204 277 0.562891297121926 -0.659975602382166 0.5 0.5
32_7 32 low 1.1946 1.108 1 1 200 NA 0.37841833760279 NA 0.583333333333333 NA
32_7 32 low 1.1946 1.108 1 1 198 NA 0.286181857843223 NA 0.666666666666667 NA
32_7 32 low 1.1946 1.108 1 1 NA NA NA NA NA NA
32_7 32 low 1.1946 1.108 1 1 194 NA 0.101708898324088 NA 0.833333333333333 NA
